Rank; University; Size; M10; G10; P10; C40; C60; C80; USN; Scholar; ID
1; University of California - Berkeley  ; 68; 375; 3.512308e+02; 0.829134; 57; 54; 38; 5.000000; 5.077428; 92
2; Massachusetts Institute of Technology  ; 97; 306; 2.859102e+02; 0.791046; 72; 66; 45; 5.000000; 5.071653; 44
3; Stanford University  ; 55; 395; 4.250067e+02; 0.897185; 46; 43; 35; 5.000000; 5.024753; 75
4; Carnegie Mellon University  ; 143; 218; 1.995810e+02; 0.720157; 105; 74; 48; 5.000000; 5.022005; 11
5; Cornell University  ; 75; 216; 2.283240e+02; 0.746838; 50; 41; 23; 4.500000; 4.413652; 19
6; Georgia Institute of Technology  ; 97; 167; 1.393444e+02; 0.634487; 66; 48; 23; 4.300000; 4.308927; 30
7; University of Washington  ; 56; 232; 2.392134e+02; 0.771120; 40; 31; 20; 4.500000; 4.269653; 160
8; University of California - San Diego  ; 60; 2.035000e+02; 1.922067e+02; 0.707040; 47; 36; 24; 4.000000; 4.237753; 97
9; University of California - Los Angeles  ; 44; 206; 2.428607e+02; 0.743671; 37; 28; 17; 4.100000; 4.161214; 95
10; University of Michigan - Ann Arbor  ; 59; 235; 1.747816e+02; 0.695030; 40; 31; 20; 4.100000; 4.142708; 128
11; Princeton University  ; 35; 285; 2.322026e+02; 0.766528; 27; 23; 19; 4.400000; 4.118001; 69
12; Columbia University  ; 45; 218; 2.055763e+02; 0.714678; 35; 27; 18; 4.000000; 4.079373; 18
13; University of Illinois - Urbana - Champaign  ; 63; 169; 1.626681e+02; 0.674045; 45; 34; 14; 4.600000; 4.059345; 115
14; Yale University  ; 21; 319; 2.614688e+02; 0.803470; 19; 16; 12; 3.700000; 4.027897; 175
15; New York University  ; 57; 204; 1.540946e+02; 0.673090; 39; 31; 14; 3.400000; 4.024541; 54
16; University of Maryland - College Park  ; 48; 182; 1.742863e+02; 0.689666; 37; 32; 12; 4.000000; 4.016743; 123
17; Johns Hopkins University  ; 27; 277; 2.959705e+02; 0.791892; 18; 14; 9; 3.500000; 3.971319; 37
18; University of Wisconsin - Madison  ; 34; 215; 1.963172e+02; 0.728875; 27; 22; 11; 4.200000; 3.903065; 161
19; University of Southern California  ; 39; 2.335000e+02; 1.943070e+02; 0.712999; 25; 20; 15; 3.700000; 3.883378; 149
20; University of Pennsylvania  ; 33; 1.875000e+02; 1.645952e+02; 0.680463; 25; 21; 9; 3.800000; 3.739480; 144
21; University of Texas - Austin  ; 46; 177; 1.424359e+02; 0.637477; 27; 23; 12; 4.300000; 3.714748; 153
22; Harvard University  ; 30; 202; 1.826699e+02; 0.703251; 22; 16; 10; 3.900000; 3.698918; 32
23; California Institute of Technology  ; 16; 287; 2.382622e+02; 0.749024; 12; 8; 7; 4.200000; 3.674333; 10
