name,year,dblp name
Supreeth Achar,2017,Supreeth Achar
Srinivas Akella,1996,Srinivas Akella
Fernando Alfaro,2007,
Hatem Said Alismail,2016,Hatem Alismail
Brigham Anderson,2003,Brigham S. Anderson
Stuart Anderson,2013,Stuart Anderson
Wei-Tech Ang,2004,Wei Tech Ang
Dimitrios (Dimi) Apostolopoulos,1998,Dimitrios Apostolopoulos
Brenna Argall,2009,Brenna D. Argall
Sankalp Arora,2018,Sankalp Arora
Thomas Ault,2005,Tom Ault
J. Andrew (Drew) Bagnell,2004,J. Andrew Bagnell
Christopher R. Baker,2010,Christopher R. Baker
Ravi Balasubramanian,2006,Ravi Balasubramanian
Devin Balkcom,2004,Devin J. Balkcom
Aayush Bansal,2021,Aayush Bansal
Deepak Bapna,1998,Deepak Bapna
Kim Baraka,2020,Kim Baraka
Gregory Barlow,2011,Gregory J. Barlow
Matthew Barnes,2019,Matt Barnes 0001
Peter Barnum,2011,Peter C. Barnum
Joseph Bartels,2019,Joseph R. Bartels
Parag Batavia,1999,Parag H. Batavia
Brian Becker,2012,Brian C. Becker
Dmitry Berenson,2011,Dmitry Berenson
Curt Bererton,2004,Curt A. Bererton
Peter Berkelman,1999,Peter J. Berkelman
Kiran Bhat,2004,Kiran S. Bhat
Joydeep Biswas,2014,Joydeep Biswas
Richard Blomquist,2009,
Rogerio Bonatti,2021,Rogerio Bonatti
David Bradley,2009,David M. Bradley
Vladimir Brajovic,1996,Vladimir Brajovic
Bambi Roberts Brewer,2006,Bambi R. Brewer
Gabriel Brisson,2008,Gabriel Brisson
Nathan Brooks,2017,Nathan Brooks
Frank Broz,2008,Frank Broz
Barry Brummit,1998,Barry Brumitt
Zack Butler,2000,Zack J. Butler
Jonathan Butzke,2017,Jonathan Butzke
Alberto Candela Garza,2021,Alberto Candela
Ellen Cappo,2020,Ellen A. Cappo
Justin David Carlson,2009,Justin Carlson
Owen Carmichael,2003,Owen T. Carmichael
Jinxiang Chai,2006,Jinxiang Chai
Lillian Y. Chang,2010,Lillian Y. Chang
Peng Chang,2002,Peng Chang
Lin Chase,1997,Lin Lawrence Chase
Anton Chechetka,2011,Anton Chechetka
Mei Chen,1999,Mei Chen
Stephen Chen,1999,Stephen Chen 0001
Joel Chestnutt,2007,Joel E. Chestnutt
Kong Man Cheung,2003,Kong Man Cheung
Sanjiban Choudhury,2018,Sanjiban Choudhury
Wen-Sheng Chu,2017,Wen-Sheng Chu
Chung-Yao Chuang,2020,Chung-Yao Chuang
Vincent Cicirello,2003,Vincent A. Cicirello
Samuel Clanton,2011,Samuel T. Clanton
Alvaro Collet Romea,2012,Alvaro Collet
Brian Coltin,2014,Brian Coltin
David C. Conner,2007,David C. Conner
Philip Cooksey,2019,Philip Cooksey
Micah Corah,2020,Micah Corah
R. Craig Coulter,1996,
Aaron Courville,2006,Aaron C. Courville
Fabio Cozman,1997,Fábio Gagliardi Cozman
Jennifer Cross,2017,Jennifer L. Cross
Christopher Cunningham,2017,Christopher Cunningham
Ankur Datta,2010,Ankur Datta
Achal Dave,2021,Achal Dave
Ian Davis,1996,Ian Lane Davis
Matthew Deans,2005,Matthew C. Deans
Tony Dear,2018,Tony Dear
Goksel Dedeoglu,2007,Göksel Dedeoglu
Amir Degani,2010,Amir Degani
Allison Del Giorno,2022,Allison Del Giorno
Christopher Dellin,2016,Christopher M. Dellin
Kan Deng,1999,Kan Deng
Arjav Ashesh Desai,2021,Arjav Desai
Ruta Desai,2018,Ruta Desai
Vishnu Desaraju,2017,Vishnu R. Desaraju
Mark Desnoyer,2015,Mark Desnoyer
Debadeepta Dey,2015,Debadeepta Dey
Rosen Diankov,2010,Rosen Diankov
M. Bernardine Dias,2004,M. Bernardine Dias
Michael Dille,2013,Michael Dille
Cristian Dima,2006,Cristian Dima
Santosh Kumar Divvala,2012,Santosh Kumar Divvala
Joseph Djugash,2010,Joseph Djugash
Mehmet Dogar,2013,Mehmet Remzi Dogar
Kevin Dowling,1997,Kevin Dowling
Anca Dragan,2015,Anca D. Dragan
David Duke,2009,David L. Duke
Felix Duvallet,2015,Felix Duvallet
Benjamin Eckart,2017,Benjamin Eckart
Rosemary Emery-Montemerlo,2005,Rosemary Emery-Montemerlo
Nathaniel Fairfield,2009,Nathaniel Fairfield
Eugene Fang,2020,Eugene Fang
Siyuan Feng,2016,Siyuan Feng
David Ferguson,2006,David I. Ferguson
Alex Foessel,2002,Alex Foessel-Bunting
Greydon Foil,2016,Greydon T. Foil
Terrence W. Fong,2001,Terrence Fong
David Fouhey,2016,David F. Fouhey
Stanislav Funiak,2010,Stanislav Funiak
Padraig Michael Furlong,2018,P. Michael Furlong
John Galeotti,2007,John M. Galeotti
Anthony T. Gallagher,2009,Anthony Gallagher
Rohit Girdhar,2019,Rohit Girdhar
Nicholas Gisolfi,2022,Nick Gisolfi
Richard Goldstein,2021,Rick Goldstein
Juan Pablo Gonzalez,2008,Juan Pablo Gonzalez
Jay Gowdy,2000,Jay Gowdy
Anoopum S. Gupta,2011,Anoopum S. Gupta
Mohit Gupta,2010,Mohit Gupta 0001
Mei Han,2001,Mei Han
John Hancock,1999,John A. Hancock
Caroline Hayes,1990,Caroline C. Hayes
Galen Clark Haynes,2008,G. Clark Haynes
Frederik Heger,2010,Frederik W. Heger
Tess Hellebrekers,2020,Tess Lee Hellebrekers
Laura Herlant,2018,Laura Herlant
Herman Herman,1997,Herman Herman
Lindsey Hines,2014,Lindsey L. Hines
Derek Hoiem,2007,Derek Hoiem
Geoffrey Hollinger,2010,Geoffrey A. Hollinger
Samantha J. Horvath,2016,Samantha Horvath
Yifan Hou,2021,Yifan Hou
Thomas Howard,2009,Thomas M. Howard
Edward Hsiao,2013,Edward Hsiao
