,Full Name,Last Name,First Name,Sholar link,Citations,h-index,i10-index,t10-index,University_x,"Rank (Full, Associate, Assistant, Other)",UniversityID,Unnamed: 11,University_y,ID,school,dblpname,dblpexists,fuzzyscore,fuzzyname
0,Nathaniel J. Davis,Davis,Nathaniel J.,,,,,21.0,Air Force Institute of Technology  ,Full,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,Nathaniel J. Davis,0,0.918918918918919,Nathaniel J. Davis IV
1,"Hopkinson, Kenneth M",Hopkinson,Kenneth M,,,,,16.0,Air Force Institute of Technology  ,Full,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,Kenneth M. Hopkinson,1,0.0,Kenneth M. Hopkinson
2,"Peterson, Gilbert L",Peterson,Gilbert L,,,,,,Air Force Institute of Technology  ,Full,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,Gilbert L. Peterson,1,0.0,Gilbert L. Peterson
3,Maj Joan A Betances Phd,Betances,Joan A,,,,,0.0,Air Force Institute of Technology  ,Assistant,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,Joan A Betances,0,0.7586206896551724,Joan Cabestany
4,"Bindewald, Jason M",Bindewald,Jason M,,,,,0.0,Air Force Institute of Technology  ,Assistant,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,Jason M Bindewald,0,0.7333333333333333,Jason M. Daida
5,"Borghetti, Brett J",Borghetti,Brett J,https://scholar.google.com/citations?user=Z6vGQasAAAAJ&hl=en&oi=ao,151.0,6.0,5.0,4.0,Air Force Institute of Technology  ,Assistant,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,Brett J. Borghetti,1,0.0,Brett J. Borghetti
6,Maj Alan C. Lin Phd,Lin,Alan C.,,,,,0.0,Air Force Institute of Technology  ,Assistant,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,Alan C. Lin,1,0.0,Alan C. Lin
7,PhD Laurence D Merkle,Merkle,Laurence D,,,,,0.0,Air Force Institute of Technology  ,Assistant,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,Laurence D. Merkle,1,0.0,Laurence D. Merkle
8,"Nykl, Scott L",Nykl,Scott L,https://scholar.google.com/citations?user=R06F8XQAAAAJ&hl=en&oi=ao,50.0,4.0,1.0,1.0,Air Force Institute of Technology  ,Assistant,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,Scott Nykl,1,0.0,Scott Nykl
9,Maj John M. Pecarina Phd,Pecarina,John M.,,,,,0.0,Air Force Institute of Technology  ,Assistant,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,John M. Pecarina,1,0.0,John M. Pecarina
10,"Reith, Mark G",Reith,Mark G,,,,,0.0,Air Force Institute of Technology  ,Assistant,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,Mark G Reith,0,0.782608695652174,Mark A. Roth
11,LTC Mason J Rice,Rice,Mason J,,,,,0.0,Air Force Institute of Technology  ,Assistant,1,, Air Force Institute of Technology,1,Air Force Institute of Technology,Mason Rice,1,0.0,Mason Rice
12,Gail-Joon Ahn,Ahn,Gail-Joon,https://scholar.google.com/citations?user=_dzO69sAAAAJ&hl=en,6983.0,41.0,104.0,146.0,Arizona State University  ,Full,2,, Arizona State University,2,Arizona State University,Gail-Joon Ahn,1,0.0,Gail-Joon Ahn
13,Chitta Baral,Baral,Chitta,https://scholar.google.com/citations?user=9Yd716IAAAAJ&hl=en,6682.0,36.0,88.0,135.0,Arizona State University  ,Full,2,, Arizona State University,2,Arizona State University,Chitta Baral,1,0.0,Chitta Baral
