school,score
Microsoft Research,49.2
University of Washington,42
Carnegie Mellon University,39.3
Massachusetts Institute of Technology,38.8
Stanford University,37.5
University of California Berkeley,28.8
Cornell University,16.7
University of Illinois at Urbana-Champaign,16.3
University of Toronto,14.3
University of Michigan,13.9
University of Texas at Austin,13
IBM Research,12.8
Google,12.7
University of British Columbia,11.4
University of Massachusetts Amherst,11.2
Georgia Institute of Technology,9.2
École Polytechnique Fédérale de Lausanne,9.1
University of California Irvine,8.9
University of Maryland,8.6
Princeton University,8.4
Yahoo! Research,7.9
University of Oxford,7.4
University of California San Diego,6.2
Tsinghua University,6.2
Weizmann Institute of Science,6.2
Columbia University,6.1
University of Wisconsin,6
McGill University,5.9
University of Cambridge,5.6
Brown University,5.4
University of Nottingham,5.3
Tel-Aviv University,5.3
Max Planck Institut,5.2
University of Waterloo,5
New York University,4.9
AT&T Laboratories,4.9
Northwestern University,4.6
Oregon State University,4.6
INRIA,4.6
University of Alberta,4.5
Technion,4.5
Rice University,4.2
National University of Singapore,4.2
Purdue University,4.2
NEC Labs America,4.1
KAIST,4
Hasso Plattner Institute,4
Université Paris-Sud,4
Newcastle University,3.9
Bell Labs,3.8
Hewlett-Packard Labs,3.7
Aarhus University,3.6
University of Nebraska-Lincoln,3.6
University of California Davis,3.6
Delft University of Technology,3.5
Ohio State University,3.4
University of North Carolina at Chapel Hill,3.4
University of Copenhagen,3.4
University of California Los Angeles,3.3
Technische Universität Berlin,3.3
Peking University,3.3
ETH Zurich,3.2
University College London,3.1
Aalto University,3.1
Rutgers University,3.1
Virginia Tech,3
Pennsylvania State University,3
DePaul University,3
Indiana University at Bloomington,3
University of Minnesota,3
Hong Kong University of Science and Technology,2.9
University of Virginia,2.8
Microsoft,2.8
Lancaster University,2.8
Saarland University,2.8
Imperial College London,2.8
Chinese Academy of Sciences,2.7
Paderborn University,2.6
University of Edinburgh,2.6
The Chinese University of Hong Kong,2.5
Polytechnic Institute of New York University,2.5
University of Tokyo,2.5
Université catholique de Louvain,2.4
Duke University,2.4
University of Glasgow,2.4
University of Applied Sciences Upper Austria,2.4
University of Bristol,2.4
University of Saskatchewan,2.4
Toyota Technological Institute at Chicago,2.3
University of Pennsylvania,2.3
Harvard University,2.2
University of Amsterdam,2.2
University of Oregon,2.2
Disney Research,2.2
RWTH Aachen University,2.2
Singapore Management University,2.2
Vienna University of Technology,2.2
University of Canterbury,2.2
University of Colorado,2.1
University of Calgary,2.1
VMware,2.1
Intel Research,2
Universidade Técnica de Lisboa,2
BBN Technologies,2
NASA Ames Research Center,2
