name,dept
Aaron Steinfeld,RI
Aarti Singh,MLD
Abhinav Gupta 0001,RI
Alan W. Black,LTI
Alessandro Acquisti,NA
Alex Waibel,LTI
Alexander H. Waibel,LTI
Alonzo Kelly,RI
Ameet Talwalkar,MLD
Amy Ogan,HCI
Andreas R. Pfenning,NA
Andrew Pavlo,NA
André Platzer,NA
Andy Pavlo,NA
Aniket Kittur,HCI
Anupam Datta,NA
Anupam Gupta,NA
Ariel D. Procaccia,NA
Barnabás Póczos,MLD
Benjamin Moseley,NA
Bernhard Haeupler,NA
Bhiksha Raj,LTI
Bhiksha Ramakrishnan,LTI
Bill Scherlis,ISR
Bogdan Vasilescu,ISR
Brad A. Myers,HCI
Brandon Lucia,NA
Bryan Parno,NA
Carl Kingsford,BIO
Cameron N. Riviere,RI
Carolyn Penstein Rosé,HCI
Changliu Liu,RI
Chinmay Eishan Kulkarni,HCI
Chinmay Kulkarni,HCI
Chris Harrison,HCI
Christian Kästner,ISR
Christopher G. Atkeson,RI
Christopher James Langmead,BIO
Christos Faloutsos,NA
Claire Le Goues,ISR
Dabbala Rajagopal Reddy,RI
Dana S. Scott,NA
Daniel Dominic Kaplan Sleator,NA
Daniel Dominic Sleator,NA
Daniel P. Siewiorek,NA
Dave Andersen,NA
David Brumley,NA
David G. Andersen,NA
David Garlan,ISR
David Held,RI
David Wettergreen,RI
David J. Mostow,NA
David P. Woodruff,NA
David R. O'Hallaron,NA
Deva Ramanan,RI
Diana Marculescu,NA
Douglas C. Sicker,ISR
Drew Bagnell,RI
Edmund M. Clarke,NA
Eduard H. Hovy,LTI
Eric Nyberg,LTI
Eric P. Xing,MLD
Eric Po Xing,MLD
Farnam Jahanian,NA
Fei Fang,ISR
Frank Pfenning,NA
Gary K. Fedder,NA
Gary L. Miller,NA
Geoff F. Kaufman,HCI
Geoffrey J. Gordon,MLD
Graham Neubig,LTI
Greg Ganger,NA
Gregory R. Ganger,NA
Guy E. Blelloch,NA
Henny Admoni,RI
Hartmut Geyer,RI
Heather Miller,ISR
Howie Choset,RI
Illah R. Nourbakhsh,RI
Illah Reza Nourbakhsh,RI
Ioannis Gkioulekas,RI
J. Andrew Bagnell,RI
J. Zico Kolter,NA
Jack Mostow,NA
Jaime G. Carbonell,LTI
James A. Bagnell,RI
James Andrew Bagnell,RI
James C. Hoe,NA
James D. Herbsleb,ISR
James H. Morris,HCI
James K. Baker,LTI
James McCann,RI
James P. Callan,LTI
Jamie Callan,LTI
Jan Hoffmann 0002,NA
Jason I. Hong,HCI
Jeffrey P. Bigham,HCI
Jeffrey Philip Bigham,HCI
Jeremy Z. Kolter,NA
Jessica Hammer,HCI
Jessica K. Hodgins,RI
Jian Ma 0004,BIO
Jim McCann,RI
Jodi Forlizzi,HCI
