name,pms,totals,gcite,papers,n_papers,citations,h-index,i10,csrp,csrpn,,,,,,,,,,,,,,
Eric P. Xing,38.9,34.7,1836,390,112.6,23468,73,260,172,52.4,,,,,,,,,,,,,,
Martial Hebert,49.9,51,2183,153,50.7,38936,97,336,170,61.2,,,,,,,,,,,,,,
Takeo Kanade,49.2,52.4,4678,380,131.3,134535,152,591,141,49.6,,,,,,,,,,,,,,
Howie Choset,28.5,26.1,522,226,69.7,16258,60,213,134,40.2,,,,,,,,,,,,,,
Christos Faloutsos,29.4,34.8,4733,502,147.9,80167,123,466,121,36.9,,,,,,,,,,,,,,
Tuomas Sandholm,23.9,33.5,1311,294,133,22370,79,243,120,51.1,,,,,,,,,,,,,,
Abhinav Gupta,24,16.5,996,186,55.2,11657,51,89,86,26,,,,,,,,,,,,,,
Ariel D. Procaccia,17.2,16.2,358,182,59.4,5587,42,98,84,26.7,,,,,,,,,,,,,,
William W. Cohen,18.9,28,1948,248,110.7,28407,72,227,75,33.6,,,,,,,,,,,,,,
David P. Woodruff,33.7,35,322,228,91.8,16258,60,213,73,30.4,,,,,,,,,,,,,,
J. Andrew Bagnell,14.4,14.1,887,162,45.9,12629,52,131,73,21.7,,,,,,,,,,,,,,
Scott E. Hudson,17.6,15.6,601,85,23.2,12971,63,168,71,23.1,,,,,,,,,,,,,,
Pradeep Ravikumar,23.9,15.8,743,169,47.3,9139,34,65,70,20.1,,,,,,,,,,,,,,
Tom M. Mitchell,16,16.3,1973,149,51.7,44791,79,210,67,24.8,,,,,,,,,,,,,,
Venkatesan Guruswami,48.9,58.1,624,296,137.1,8377,45,131,64,27.1,,,,,,,,,,,,,,
Anupam Gupta,30.5,27.3,586,223,72.4,8015,47,128,63,21.2,,,,,,,,,,,,,,
Christopher G. Atkeson,19.5,21.2,647,138,51.2,22638,66,167,63,25.4,,,,,,,,,,,,,,
Deva Ramanan,21.7,21.3,2328,120,43.1,26556,49,81,60,23.4,,,,,,,,,,,,,,
Brad A. Myers,17.1,22.3,1029,193,80.4,27081,84,284,58,24.4,,,,,,,,,,,,,,
Jessica K. Hodgins,20.5,20,709,22,5.1,18691,69,163,58,19.6,,,,,,,,,,,,,,
Andrew W. Moore 0001,17.3,19.3,1129,99,42.3,33152,68,163,56,23.7,,,,,,,,,,,,,,
Matthew T. Mason,19.3,20.7,214,35,8.4,12205,43,107,54,21.5,,,,,,,,,,,,,,
Geoffrey J. Gordon,16.7,18.2,758,131,49.9,2879,17,24,51,20.3,,,,,,,,,,,,,,
Jaime G. Carbonell,11.9,15.6,935,239,82.7,26119,71,241,50,19.8,,,,,,,,,,,,,,
Eduard H. Hovy,10.2,16.3,1563,310,108.3,27392,77,264,49,16.6,,,,,,,,,,,,,,
Srinivasa G. Narasimhan,17.5,15.3,338,46,11.8,8811,40,66,49,16.4,,,,,,,,,,,,,,
Ragunathan Rajkumar,8.1,8.8,997,142,51.3,19680,66,173,48,15,,,,,,,,,,,,,,
Srinivasan Seshan,17.8,11,1191,81,27.2,23193,64,121,48,10.8,,,,,,,,,,,,,,
Jason I. Hong,12.4,8.8,863,39,14.3,19894,65,138,47,12.5,,,,,,,,,,,,,,
Phillip B. Gibbons,22.7,18,1431,169,63.2,19745,70,164,47,12.1,,,,,,,,,,,,,,
Yiming Yang,8.7,10.2,1431,144,50.8,27488,49,98,46,18.6,,,,,,,,,,,,,,
Gary L. Miller,23.1,25.6,517,154,59.6,11527,58,134,45,19.4,,,,,,,,,,,,,,
Graham Neubig,1.8,3.6,188,199,54,2868,28,71,44,12.5,,,,,,,,,,,,,,
Lorrie Faith Cranor,18.2,10.5,1153,15,2.2,24878,83,200,43,7.5,,,,,,,,,,,,,,
James P. Callan,8,11.5,1112,24,7,11189,58,134,42,17.5,,,,,,,,,,,,,,
David G. Andersen,14.6,8.5,1270,95,22.4,14665,55,101,41,8.9,,,,,,,,,,,,,,
Maria-Florina Balcan,12.9,11.5,407,54,25.1,4547,35,65,41,13.3,,,,,,,,,,,,,,
Randal E. Bryant,14.8,20.5,1878,39,21.2,27517,55,134,41,17.5,,,,,,,,,,,,,,
Jodi Forlizzi,13.4,9.7,600,25,7.9,15294,62,140,39,9.6,,,,,,,,,,,,,,
Todd C. Mowry,12.9,9.6,557,77,19.3,9177,50,94,39,9.4,,,,,,,,,,,,,,
Vipul Goyal,15.2,14.3,692,78,27,8089,30,54,39,14.9,,,,,,,,,,,,,,
Simon Lucey,12.4,11.9,548,25,9.2,5855,39,83,38,13.4,,,,,,,,,,,,,,
Peter Steenkiste,20,22.4,758,108,28.1,15350,61,161,37,13,,,,,,,,,,,,,,
Vyas Sekar,14.8,7.7,741,100,22.2,9621,43,82,37,7.3,,,,,,,,,,,,,,
Chris Harrison,10.1,6.7,346,52,15.7,5300,38,63,36,10,,,,,,,,,,,,,,
Ryan O'Donnell,21,22.2,249,54,17.6,4328,35,63,35,14.1,,,,,,,,,,,,,,
Daniel P. Siewiorek,19.5,21.2,508,164,61.9,20694,65,195,34,12.2,,,,,,,,,,,,,,
Illah R. Nourbakhsh,10.8,9.5,252,79,24.8,13738,50,108,34,12.5,,,,,,,,,,,,,,
Robert E. Kraut,19.4,16.1,1010,57,20.9,45336,100,219,34,9.9,,,,,,,,,,,,,,
Gregory R. Ganger,16.8,10.5,1031,121,28.8,15999,68,154,33,8,,,,,,,,,,,,,,
Jeffrey P. Bigham,13.5,8.6,267,108,26.9,5467,36,87,33,7.5,,,,,,,,,,,,,,
J. Zico Kolter,7.2,7.9,536,57,22.8,6031,28,42,31,12.7,,,,,,,,,,,,,,
William Whittaker,10.7,6.7,89,62,14.3,2824,24,42,31,7.6,,,,,,,,,,,,,,
Nancy S. Pollard,7.9,9.9,289,81,27.5,6178,37,64,30,11.1,,,,,,,,,,,,,,
Norman M. Sadeh,9.1,6.5,509,62,19,13686,60,138,30,6.7,,,,,,,,,,,,,,
David Brumley,11.1,7.3,603,53,13.9,8021,40,60,29,8,,,,,,,,,,,,,,
Louis-Philippe Morency,7.8,8,615,151,42.8,8708,49,142,29,7.4,,,,,,,,,,,,,,
Seth Copen Goldstein,7.2,8.3,504,146,49.3,10551,41,91,29,8.6,,,,,,,,,,,,,,
Taylor Berg-Kirkpatrick,4.3,3,193,43,12.7,1201,15,21,29,8.6,,,,,,,,,,,,,,
Diana Marculescu,14.7,18,315,149,55.6,6480,45,117,28,9.8,,,,,,,,,,,,,,
Guy E. Blelloch,18.7,20.3,815,171,59.7,12622,52,128,28,11.1,,,,,,,,,,,,,,
John Zimmerman,11.6,7.6,334,31,8.9,11550,45,109,28,7.1,,,,,,,,,,,,,,
Lujo Bauer,10,4.6,369,19,8.5,5941,41,74,27,4.3,,,,,,,,,,,,,,
Michael A. Erdmann,12.1,15.4,107,20,3.6,5802,25,40,27,13.4,,,,,,,,,,,,,,
Alexander H. Waibel,9.7,14.6,781,281,87.1,28474,82,383,26,9.9,,,,,,,,,,,,,,
Alonzo Kelly,6.2,8.5,163,69,28.1,7096,44,110,26,11.4,,,,,,,,,,,,,,
Sara B. Kiesler,11.3,8,380,133,52.2,54644,91,188,26,6.8,,,,,,,,,,,,,,
Aarti Singh,11.4,7.9,161,116,34.7,2590,27,62,25,7.5,,,,,,,,,,,,,,
Andrew Pavlo,10.2,4.6,288,40,8.9,3905,24,30,25,5.5,,,,,,,,,,,,,,
Mor Harchol-Balter,8.1,8.6,577,5,3,9159,46,89,25,8.7,,,,,,,,,,,,,,
Aniket Kittur,12,8.3,430,60,17.4,9188,39,61,24,7.4,,,,,,,,,,,,,,
Benjamin Moseley,10.1,8.4,84,79,25,1646,19,29,24,7.8,,,,,,,,,,,,,,
Frank Pfenning,5.5,11.1,851,135,62.6,14122,61,155,23,12.2,,,,,,,,,,,,,,
James D. Herbsleb,8.2,8.3,1031,83,29.4,19243,57,118,22,8.1,,,,,,,,,,,,,,
Ziv Bar-Joseph,7.8,6.8,670,53,16.7,19243,47,93,22,7.1,,,,,,,,,,,,,,
Bernhard Haeupler,11.8,13,89,137,53.9,1571,22,44,21,9.8,,,,,,,,,,,,,,
Bryan Parno,7.2,5,607,38,10.8,7207,32,49,21,4.7,,,,,,,,,,,,,,
Anupam Datta,7.1,4.9,298,104,27.3,5095,35,86,20,4.8,,,,,,,,,,,,,,
Mahadev Satyanarayanan,11.6,15.2,1518,80,16.3,31047,76,179,20,7.7,,,,,,,,,,,,,,
Radu Marculescu,14.1,15.9,607,96,29,12000,54,125,18,6.2,,,,,,,,,,,,,,
Kun Zhang,0.7,3.8,346,180,52.8,2312,23,40,17,4.4,,,,,,,,,,,,,,
James C. Hoe,7.3,6.5,479,71,21.3,5891,39,90,16,4.7,,,,,,,,,,,,,,
Mayank Goel,3.6,1.6,54,104,41.6,30496,60,267,16,2.8,,,,,,,,,,,,,,
Steven Rudich,7.4,7.3,238,41,33.7,4690,23,28,16,6.4,,,,,,,,,,,,,,
Umut A. Acar,6.9,5.8,154,80,23.9,2814,28,50,16,4.4,,,,,,,,,,,,,,
David R. O'Hallaron,8.7,7,172,56,17.8,5206,37,71,15,4.4,,,,,,,,,,,,,,
Eric Nyberg,1.9,2.5,214,82,22,5479,36,86,15,4.8,,,,,,,,,,,,,,
Hartmut Geyer,2.3,2.1,88,29,10.4,4156,23,36,15,5.4,,,,,,,,,,,,,,
Matt Fredrikson,3.4,2.2,186,64,28.2,2088,16,25,15,3.9,,,,,,,,,,,,,,
Bruce H. Krogh,15.1,12.7,369,93,32.2,14637,58,174,14,4.7,,,,,,,,,,,,,,
Carl Kingsford,4.6,4.5,271,44,15.1,4376,25,45,14,5.1,,,,,,,,,,,,,,
David Garlan,2.3,6.2,1658,155,56.3,33600,73,194,14,4.7,,,,,,,,,,,,,,
Kemal Oflazer,0.1,3.1,185,24,7.3,4267,36,63,14,5.7,,,,,,,,,,,,,,
Alan W. Black,3.6,4.7,916,136,42.1,17622,62,194,13,2.9,,,,,,,,,,,,,,
Brandon Lucia,5.3,4.2,124,29,9.6,1440,18,25,13,4.5,,,,,,,,,,,,,,
Jan Hoffmann 0002,2.7,2.9,9,168,63.5,819,16,18,13,3.9,,,,,,,,,,,,,,
Karl Crary,4.3,6.7,282,29,8.4,4049,26,48,13,6.6,,,,,,,,,,,,,,
Katerina Fragkiadaki,3.9,2.8,112,52,27.9,1100,13,15,13,4,,,,,,,,,,,,,,
Sivaraman Balakrishnan,4.4,2.3,105,136,42.9,1256,19,22,13,3,,,,,,,,,,,,,,
Yulia Tsvetkov,0.8,1,123,40,10.8,949,16,24,13,3.4,,,,,,,,,,,,,,
Yuvraj Agarwal,4.2,2.9,199,49,10.8,4346,31,48,13,3.1,,,,,,,,,,,,,,
David Held,2.5,1.7,79,25,6.4,1281,13,13,12,3.4,,,,,,,,,,,,,,
Fei Fang,1.3,1.2,37,51,11.3,2239,27,47,12,2.4,,,,,,,,,,,,,,
Jack Mostow,7.8,8.5,115,72,28.7,4731,36,90,12,5.3,,,,,,,,,,,,,,
James McCann,3.6,3,46,11,4.8,687,11,11,12,3.6,,,,,,,,,,,,,,
Keenan Crane,3.9,2.8,98,165,62.9,1627,17,19,12,3.6,,,,,,,,,,,,,,
Laura A. Dabbish,9.2,7.3,517,153,45.8,7784,32,52,12,3.8,,,,,,,,,,,,,,
Ronald Rosenfeld,5.9,4.6,397,124,67.2,12171,47,103,12,3.1,,,,,,,,,,,,,,
