rank,uni,score,faculty
1,Carnegie Mellon University,18.2,152
2,Massachusetts Institute of Technology,12.6,86
3,University of California - Berkeley,11.8,86
4,Stanford University,11.7,64
5,Univ. of Illinois at Urbana-Champaign,10.3,90
6,Cornell University,9.3,75
6,University of Michigan,9.3,74
8,University of Washington,8.9,61
9,Georgia Institute of Technology,8.6,91
10,Tsinghua University,8.4,114
11,ETH Zurich,7.9,35
12,University of California - San Diego,7.7,59
13,University of Maryland - College Park,7.4,65
14,Columbia University,6.5,49
14,University of Wisconsin - Madison,6.5,50
16,National University of Singapore,6.4,67
17,University of Pennsylvania,5.9,51
18,University of Toronto,5.7,71
19,Max Planck Institute,5.5,32
19,Northeastern University,5.5,59
19,Princeton University,5.5,52
19,University of California - Los Angeles,5.5,38
23,University of Texas at Austin,5.4,43
24,University of Southern California,5.2,44
25,EPFL,5.0,46
25,Purdue University,5.0,55
25,Technion,5.0,73
25,University of Massachusetts Amherst,5.0,48
29,University of Waterloo,4.8,80
30,KAIST,4.7,62
31,New York University,4.6,49
32,University of Edinburgh,4.5,70
33,Harvard University,4.4,29
33,Peking University,4.4,105
35,University of British Columbia,4.3,50
35,University of California - Irvine,4.3,60
37,Tel Aviv University,4.2,42
38,HKUST,4.1,43
38,Northwestern University,4.1,42
38,Pennsylvania State University,4.1,44
41,Rutgers University,4.0,48
42,University College London,3.9,56
43,Ohio State University,3.8,38
43,University of California - Santa Barbara,3.8,28
45,University of Oxford,3.7,50
46,Seoul National University,3.6,47
47,TU Munich,3.5,40
47,University of Colorado Boulder,3.5,62
49,Texas A&M University,3.4,40
49,University of Utah,3.4,40
51,Brown University,3.3,26
51,Hebrew University of Jerusalem,3.3,37
51,Nanyang Technological University,3.3,54
51,Shanghai Jiao Tong University,3.3,58
51,Stony Brook University,3.3,41
51,University of Chicago,3.3,28
57,Simon Fraser University,3.2,38
57,TU Darmstadt,3.2,27
57,University of Minnesota,3.2,38
57,University of Tokyo,3.2,50
57,Zhejiang University,3.2,76
62,Duke University,3.1,22
62,Imperial College London,3.1,39
62,University of California - Riverside,3.1,40
62,University of Illinois at Chicago,3.1,38
66,Chinese University of Hong Kong,3.0,28
66,Rice University,3.0,24
66,University of Virginia,3.0,31
66,Yale University,3.0,31
70,Johns Hopkins University,2.9,29
70,University of California - Davis,2.9,27
70,University of California - Santa Cruz,2.9,40
70,University of Cambridge,2.9,39
74,Boston University,2.8,28
74,Oregon State University,2.8,27
76,Chinese Academy of Sciences,2.6,46
76,Fudan University,2.6,57
76,Indiana University,2.6,42
76,McGill University,2.6,23
76,University of North Carolina,2.6,21
81,National Taiwan University,2.5,29
81,UNSW,2.5,45
81,University of Central Florida,2.5,29
84,IISc Bangalore,2.4,22
84,University at Buffalo,2.4,33
84,Virginia Tech,2.4,42
87,Arizona State University,2.3,27
87,Bar-Ilan University,2.3,21
87,Ecole Normale Superieure,2.3,33
87,North Carolina State University,2.3,32
87,RWTH Aachen,2.3,21
87,TU Delft,2.3,44
87,University of Texas at Dallas,2.3,33
94,IST Austria,2.2,11
94,Singapore Management University,2.2,23
94,University of Alberta,2.2,36
94,University of Copenhagen,2.2,35
94,University of Pittsburgh,2.2,20
94,University of Rochester,2.2,21
94,University of Sydney,2.2,23
94,Washington University in St. Louis,2.2,25
102,Australian National University,2.1,46
102,Graz University of Technology,2.1,22
102,IIT Bombay,2.1,25
102,KU Leuven,2.1,24
102,TU Berlin,2.1,25
102,TU Wien,2.1,28
102,Universidade de Lisboa,2.1,48
102,University of Stuttgart,2.1,18
110,Aarhus University,2.0,22
110,George Mason University,2.0,27
110,IIT Delhi,2.0,22
110,Nanjing University,2.0,30
110,University of Florida,2.0,24
110,University of Freiburg,2.0,18
110,University of Melbourne,2.0,38
110,University of Texas at Arlington,2.0,21
118,Aalto University,1.9,25
118,Dartmouth College,1.9,15
118,IT University of Copenhagen,1.9,22
118,Karlsruhe Institute of Technology (KIT),1.9,21
118,Michigan State University,1.9,18
118,Monash University,1.9,29
118,TTI Chicago,1.9,12
118,TU Dresden,1.9,15
118,University of Adelaide,1.9,18
118,University of Montreal,1.9,24
118,University of Notre Dame,1.9,23
129,Binghamton University,1.8,21
129,California Institute of Technology,1.8,13
129,Florida State University,1.8,18
129,IIT Kanpur,1.8,22
129,KAUST,1.8,13
129,POSTECH,1.8,16
129,Politecnico di Milano,1.8,36
129,Rensselaer Polytechnic Institute,1.8,13
129,UNIST,1.8,17
129,University of Bristol,1.8,30
129,University of Technology Sydney,1.8,21
140,Beihang University,1.7,33
140,CISPA Helmholtz Center,1.7,14
140,IIT Madras,1.7,16
140,Kyoto University,1.7,25
140,Rochester Institute of Technology,1.7,30
140,Stevens Institute of Technology,1.7,16
140,Tokyo Institute of Technology,1.7,25
140,UFMG,1.7,29
140,USTC,1.7,17
140,University of Houston,1.7,16
140,University of Warsaw,1.7,31
140,Università della Svizzera italiana,1.7,21
152,Carleton University,1.6,14
152,College of William and Mary,1.6,11
152,Ecole Normale Superieure de Lyon,1.6,34
152,Iowa State University,1.6,18
152,LMU Munich,1.6,15
152,National Tsing Hua University,1.6,25
152,SUTD,1.6,10
152,TU Eindhoven,1.6,24
152,The Hong Kong Polytechnic University,1.6,16
152,Tufts University,1.6,12
152,UESTC,1.6,21
152,University of Arizona,1.6,18
152,University of Calgary,1.6,26
152,University of Connecticut,1.6,12
152,University of Glasgow,1.6,32
152,University of Iowa,1.6,10
152,University of Liverpool,1.6,18
152,University of Tennessee,1.6,14
152,University of Victoria,1.6,16
152,University of Zurich,1.6,11
152,York University,1.6,19
173,Ben-Gurion University of the Negev,1.5,15
173,Brigham Young University,1.5,15
173,CUNY,1.5,23
173,CWI,1.5,18
173,Colorado School of Mines,1.5,8
173,Georgetown University,1.5,13
173,Harbin Institute of Technology,1.5,19
173,IIIT Hyderabad,1.5,21
173,NJIT,1.5,14
173,Qatar Computing Research Institute,1.5,15
173,Shenzhen University,1.5,15
173,Temple University,1.5,10
173,UFRGS,1.5,25
173,Univ. of Maryland - Baltimore County,1.5,15
173,University of Bath,1.5,20
173,University of Massachusetts Lowell,1.5,16
173,University of South Carolina,1.5,14
173,University of Vienna,1.5,8
173,University of York,1.5,23
173,VU Amsterdam,1.5,19
173,Worcester Polytechnic Institute,1.5,20
194,AUEB,1.4,7
194,Clemson University,1.4,20
194,George Washington University,1.4,12
194,IMDEA Software Institute,1.4,12
194,Illinois Institute of Technology,1.4,15
194,Lehigh University,1.4,9
194,RMIT University,1.4,21
194,University of Auckland,1.4,22
194,University of Delaware,1.4,12
194,University of Konstanz,1.4,10
194,University of Nebraska,1.4,14
194,University of New Mexico,1.4,14
194,University of Oregon,1.4,13
194,University of Queensland,1.4,15
194,University of Salerno,1.4,10
194,University of Surrey,1.4,17
194,University of Sussex,1.4,12
194,University of Texas at San Antonio,1.4,11
194,Washington State University,1.4,11
213,Aalborg University,1.3,19
213,Ariel University,1.3,9
213,Case Western Reserve University,1.3,9
213,Cyprus University of Technology,1.3,5
213,Drexel University,1.3,10
213,EURECOM,1.3,10
213,Ecole Normale Superieure de Cachan,1.3,18
213,Emory University,1.3,13
213,Florida International University,1.3,10
213,Hanyang University,1.3,9
213,Hasso Plattner Institute,1.3,7
213,Hong Kong Baptist University,1.3,10
213,Humboldt University of Berlin,1.3,10
213,IIIT Delhi,1.3,14
