1,Stanford University
2,Massachusetts Institute of Technology (MIT)
3,"University of California, Berkeley"
4,Princeton University
5,Harvard University
6,Carnegie Mellon University
7,Cornell University
8,The University of Texas at Austin
9,"University of California, Los Angeles"
10,University of Southern California
11,"University of California, San Diego"
11,University of Toronto
13,California Institute of Technology
14,University of Illinois at Urbana-Champaign
15,"University of Maryland, College Park"
16,University of Michigan - Ann Arbor
17,University of Oxford
18,Technion-Israel Institute of Technology
19,Purdue University - West Lafayette
20,"Rutgers, The State University of New Jersey - New Brunswick"
21,Columbia University
21,Georgia Institute of Technology
23,Weizmann Institute of Science
24,The Hong Kong University of Science and Technology
25,University of Washington
26,Swiss Federal Institute of Technology Zurich
27,University of British Columbia
28,The Hebrew University of Jerusalem
29,The Chinese University of Hong Kong
29,"University of California, Davis"
31,The Ohio State University - Columbus
31,University of Massachusetts Amherst
33,National Taiwan University
33,Yale University
35,Nanyang Technological University
35,National Chiao Tung University
37,Tsinghua University
38,University of Cambridge
39,"University of California, Irvine"
40,Technical University Munich
41,"University of California, Santa Barbara"
42,City University of Hong Kong
42,Eindhoven University of Technology
44,Duke University
44,Korea Advanced Institute of Science and Technology
44,Tel Aviv University
47,Ghent University
48,New York University
48,University of North Carolina at Chapel Hill
50,Boston University
