,H,abbrv,category,citations,name,dblp_name
0,110,WWW,World Wide Web,2922,World Wide Web Conference Series,WWW
1,69,ISWC,World Wide Web,1206,International Semantic Web Conference,International Semantic Web Conference
2,63,Hypertext,World Wide Web,932,ACM Conference on Hypertext,Hypertext
3,56,,World Wide Web,141,Internet Measurement Workshop,Internet Measurement Workshop
4,48,USITS,World Wide Web,101,USENIX Symposium on Internet Technologies and Systems,USENIX Symposium on Internet Technologies and Systems
5,39,WebDB,World Wide Web,232,International Workshop on the Web and Databases,WebDB
6,37,ICWS,World Wide Web,1328,International Conference on Web Services,ICWS
7,32,INET,World Wide Web,143,Internet Society Conference,NotAConf
8,31,ECHT,World Wide Web,147,European Conference on Hypertext,ECHT
9,30,AH,World Wide Web,400,Adaptive Hypermedia and Adaptive Web-Based Systems,AH
10,28,WISE,World Wide Web,927,Web Information Systems Engineering,WISE
11,25,WI,World Wide Web,2589,Web Intelligence,Web Intelligence
12,25,WIDM,World Wide Web,197,Web Information and Data Management,WIDM
13,21,IEEESCC,World Wide Web,923,IEEE International Conference on Services Computing,NotAConf
14,20,CEC(WECWIS),World Wide Web,369,Workshop on Advanced Issues of E-Commerce and Web/based Information Systems/Conference on Electronic Commerce,CEC
15,19,WebNet,World Wide Web,2117,World Conference on the WWW and Internet,WebNet
16,19,ICWE,World Wide Web,680,International Conference on Web Engineering,ICWE
17,19,EC-Web,World Wide Web,360,Electronic Commerce and Web Technologies,EC-Web
18,19,WSDM,World Wide Web,196,Web Search and Data Mining,WSDM
19,17,ICOMP,World Wide Web,1090,International Conference on Internet Computing,International Conference on Internet Computing
20,17,,World Wide Web,31,The Adaptive Web,The Adaptive Web
21,16,,World Wide Web,232,"e-Technology, e-Commerce and e-Service",NotAConf
22,16,ECOWS,World Wide Web,233,European Conference on Web Services,ECOWS
23,16,QofIS,World Wide Web,160,Quality of Future Internet Services,QofIS
24,16,OWLED,World Wide Web,151,Workshop on OWL: Experiences and Directions,OWLED
25,14,LA-WEB,World Wide Web,228,Latin American Web Congress,LA-WEB
26,14,,World Wide Web,64,Principles and Practice of Semantic Web Reasoning,NotAConf
