rank,school,score
1,Microsoft Research,49.2
2,University of Washington,42
3,Carnegie Mellon University,39.3
4,Massachusetts Institute of Technology,38.8
5,Stanford University,37.5
6,University of California - Berkeley,28.8
7,Cornell University,16.7
8,Univ. of Illinois at Urbana-Champaign,16.3
9,University of Toronto,14.3
10,University of Michigan,13.9
11,University of Texas at Austin,13
12,IBM Research,12.8
13,Google,12.7
14,University of British Columbia,11.4
15,University of Massachusetts Amherst,11.2
16,Georgia Institute of Technology,9.2
17,EPFL,9.1
18,University of California - Irvine,8.9
19,University of Maryland - College Park,8.6
20,Princeton University,8.4
21,Yahoo! Research,7.9
22,University of Oxford,7.4
23,University of California - San Diego,6.2
24,Tsinghua University,6.2
25,Weizmann Institute of Science,6.2
26,Columbia University,6.1
27,University of Wisconsin - Madison,6
28,McGill University,5.9
29,University of Cambridge,5.6
30,Brown University,5.4
31,University of Nottingham,5.3
32,Tel Aviv University,5.3
33,Max Planck Institute,5.2
34,University of Waterloo,5
35,New York University,4.9
36,AT&T Laboratories,4.9
37,Northwestern University,4.6
38,Oregon State University,4.6
39,INRIA,4.6
40,University of Alberta,4.5
41,Technion,4.5
42,Rice University,4.2
43,National University of Singapore,4.2
44,Purdue University,4.2
45,NEC Labs America,4.1
46,KAIST,4
47,Hasso Plattner Institute,4
48,Université Paris-Sud,4
49,Newcastle University,3.9
50,Bell Labs,3.8
51,Hewlett-Packard Labs,3.7
52,Aarhus University,3.6
53,University of Nebraska,3.6
54,University of California - Davis,3.6
55,Delft University of Technology,3.5
56,Ohio State University,3.4
57,University of North Carolina,3.4
58,University of Copenhagen,3.4
59,University of California - Los Angeles,3.3
60,TU Berlin,3.3
61,Peking University,3.3
62,ETH Zurich,3.2
63,University College London,3.1
64,Aalto University,3.1
65,Rutgers University,3.1
66,Virginia Tech,3
67,Pennsylvania State University,3
68,DePaul University,3
69,Indiana University,3
70,University of Minnesota,3
71,HKUST,2.9
72,University of Virginia,2.8
73,Microsoft,2.8
74,Lancaster University,2.8
75,Saarland University,2.8
76,Imperial College London,2.8
77,Chinese Academy of Sciences,2.7
78,Paderborn University,2.6
79,University of Edinburgh,2.6
80,Chinese University of Hong Kong,2.5
81,Polytechnic Institute of New York University,2.5
82,University of Tokyo,2.5
83,Université catholique de Louvain,2.4
84,Duke University,2.4
85,University of Glasgow,2.4
86,University of Applied Sciences Upper Austria,2.4
87,University of Bristol,2.4
88,University of Saskatchewan,2.4
89,TTI Chicago,2.3
90,University of Pennsylvania,2.3
91,Harvard University,2.2
92,University of Amsterdam,2.2
93,University of Oregon,2.2
94,Disney Research,2.2
95,RWTH Aachen,2.2
96,Singapore Management University,2.2
97,Vienna University of Technology,2.2
98,University of Canterbury,2.2
99,University of Colorado Boulder,2.1
100,University of Calgary,2.1
101,VMware,2.1
102,Intel Research,2
103,Universidade de Lisboa,2
104,BBN Technologies,2
105,NASA Ames Research Center,2
