rank,uni
1,Massachusetts Institute of Technology
2,Stanford University
3,Carnegie Mellon University
4,University of California - Berkeley
5,University of Cambridge
6,Harvard University
7,University of Oxford
8,Princeton University
9,ETH Zurich
10,National University of Singapore
10,University of Toronto
12,Imperial College London
13,University of California - Los Angeles
14,HKUST
14,University of Melbourne
16,Nanyang Technological University
17,Peking University
18,EPFL
18,University of Washington
20,Tsinghua University
21,Georgia Institute of Technology
22,California Institute of Technology
22,University of Tokyo
24,Columbia University
25,Cornell University
26,The University of Hong Kong
27,University of Texas at Austin
28,Chinese University of Hong Kong
28,University of Edinburgh
28,Univ. of Illinois at Urbana-Champaign
31,University of Waterloo
32,University College London
33,New York University
34,KAIST
34,University of British Columbia
36,University of Sydney
37,Australian National University
37,University of Pennsylvania
39,Yale University
40,Seoul National University
41,UNSW
42,TU Munich
43,National Taiwan University
44,Politecnico di Milano
45,University of California - San Diego
45,University of Michigan
47,University of Southern California
48,Shanghai Jiao Tong University
49,Lomonosov Moscow State University
50,City University of Hong Kong
