rank,uni
1,Stanford University
2,Massachusetts Institute of Technology
3,University of California - Berkeley
4,Princeton University
5,Harvard University
6,Carnegie Mellon University
7,Cornell University
8,University of Texas at Austin
9,University of California - Los Angeles
10,University of Southern California
11,University of California - San Diego
11,University of Toronto
13,California Institute of Technology
14,Univ. of Illinois at Urbana-Champaign
15,University of Maryland - College Park
16,University of Michigan
17,University of Oxford
18,Technion
19,Purdue University
20,Rutgers University
21,Columbia University
21,Georgia Institute of Technology
23,University of Utah
24,HKUST
25,University of Washington
26,ETH Zurich
27,University of British Columbia
28,Hebrew University of Jerusalem
29,Chinese University of Hong Kong
29,University of California - Davis
31,Ohio State University
31,University of Massachusetts Amherst
33,National Taiwan University
33,Yale University
35,Nanyang Technological University
35,National Chiao Tung University
37,Tsinghua University
38,University of Cambridge
39,University of California - Irvine
40,TU Munich
41,University of California - Santa Barbara
42,City University of Hong Kong
42,Eindhoven University of Technology
44,Duke University
44,KAIST
44,Tel Aviv University
47,Ghent University
48,New York University
48,University of North Carolina
50,Boston University
