rank,uni
1,Stanford University
2,Massachusetts Institute of Technology
3,University of Oxford
4,ETH Zurich
5,University of Cambridge
6,California Institute of Technology
6,Carnegie Mellon University
8,Georgia Institute of Technology
9,Imperial College London
10,EPFL
11,Harvard University
12,Princeton University
13,National University of Singapore
14,University of Edinburgh
15,Cornell University
16,TU Munich
17,University of Washington
18,University College London
19,Columbia University
20,Tsinghua University
21,Univ. of Illinois at Urbana-Champaign
22,University of Toronto
23,University of Pennsylvania
24,University of California - San Diego
25,Peking University
26,University of Texas at Austin
27,University of Wisconsin - Madison
28,University of British Columbia
28,HKUST
30,University of Southern California
31,Nanyang Technological University
32,University of Maryland - College Park
33,University of Waterloo
34,University of Chicago
35,University of Tokyo
36,University of Michigan
37,RWTH Aachen
38,Chinese University of Hong Kong
39,University of Melbourne
40,Seoul National University
41,KAIST
42,TU Delft
42,TU Berlin
44,University of California - Santa Barbara
45,University of Massachusetts Amherst
45,Zhejiang University
47,LMU Munich
48,Brown University
49,University of California - Irvine
50,KU Leuven
51,Kyoto University
52,Rice University
53,National Taiwan University
54,KTH Royal Institute of Technology
55,Chinese University of Hong Kong
56,University of Montreal
57,Technion
58,University of Freiburg
58,Nanjing University
60,Lomonosov Moscow State University
61,King’s College London
61,Vienna University of Technology
63,University of Manchester
64,Eindhoven University of Technology
65,Heidelberg University
66,University of Amsterdam
67,Moscow Institute of Physics and Technology
68,Pennsylvania State University
68,Shanghai Jiao Tong University
70,École Polytechnique
71,University of Science and Technology of China
72,University of North Carolina
72,TU Darmstadt
74,City University of Hong Kong
74,University of Twente
76,ITMO University
77,Paris Sciences et Lettres – PSL Research University Paris
78,University of Luxembourg
79,Arizona State University
80,Aarhus University
81,University of Bonn
81,University of Stuttgart
83,Australian National University
83,University of Technology Sydney
85,University of Southampton
86,University of Geneva
86,University of Pittsburgh
88,The Hong Kong Polytechnic University
88,Tel Aviv University
90,Aalto University
91,Rutgers University
92,Dartmouth College
93,University of Helsinki
94,Stony Brook University
95,McGill University
95,Polytechnic University of Milan
97,University of Minnesota
98,Newcastle University
98,Queensland University of Technology
100,Washington University in St. Louis
