rank,uni
1,Carnegie Mellon University
1,Massachusetts Institute of Technology
1,Stanford University
1,University of California - Berkeley
5,Univ. of Illinois at Urbana-Champaign
6,Cornell University
6,University of Washington
8,Georgia Institute of Technology
8,Princeton University
10,University of Texas at Austin
11,California Institute of Technology
11,University of Michigan
13,Columbia University
13,University of California - Los Angeles
13,University of Wisconsin - Madison
16,Harvard University
16,University of California - San Diego
16,University of Maryland - College Park
19,University of Pennsylvania
20,Purdue University
20,Rice University
20,University of Massachusetts Amherst
20,University of Southern California
20,Yale University
25,Brown University
25,Duke University
25,Johns Hopkins University
25,University of North Carolina
29,University of Minnesota
30,New York University
30,Northwestern University
30,Ohio State University
30,Pennsylvania State University
30,University of California - Irvine
30,University of Chicago
30,University of Virginia
37,Rutgers University
37,University of California - Davis
37,University of California - Santa Barbara
40,Stony Brook University
40,University of Colorado Boulder
40,Virginia Tech
43,Arizona State University
43,Dartmouth College
43,North Carolina State University
43,Texas A&M University
43,University of Arizona
43,University of Utah
49,Boston University
49,Northeastern University
49,University of Florida
49,University of Pittsburgh
49,University of Rochester
49,Washington University in St. Louis
55,Indiana University
55,Michigan State University
55,Rensselaer Polytechnic Institute
58,University of California - Santa Cruz
58,University of Notre Dame
58,Vanderbilt University
61,Iowa State University
61,University at Buffalo
61,University of California - Riverside
64,University of Illinois at Chicago
64,University of Iowa
64,University of Oregon
64,University of Texas at Dallas
68,Case Western Reserve University
68,College of William and Mary
68,George Mason University
68,Oregon State University
68,Rochester Institute of Technology
68,Syracuse University
68,University of Delaware
75,Colorado State University
75,George Washington University
75,Tufts University
75,University of Nebraska
75,University of New Mexico
75,University of Tennessee
75,Washington State University
82,CUNY
82,Clemson University
82,Drexel University
82,Emory University
82,Florida State University
82,University of Central Florida
82,University of Connecticut
82,Univ. of Maryland - Baltimore County
82,Worcester Polytechnic Institute
91,Auburn University
91,Brandeis University
91,Brigham Young University
91,Colorado School of Mines
91,Illinois Institute of Technology
91,New Jersey Institute of Technology
91,Stevens Institute of Technology
91,University of Kansas
91,University of Kentucky
91,University of North Carolina -- Charlotte
91,University of Texas at Arlington
102,Kansas State University
102,Lehigh University
102,Louisiana State University--Baton Rouge
102,Temple University
102,University of Georgia
102,University of Houston
102,University of Missouri
102,University of South Florida
102,Wayne State University
111,Binghamton University
111,Missouri University of Technology
111,University at Albany
111,University of Alabama
111,University of New Hampshire
111,University of Oklahoma
111,University of South Carolina
111,West Virginia University
