1,Massachusetts Institute of Technology (MIT)
2,Stanford University
3,Carnegie Mellon University
4,"University of California, Berkeley (UCB)"
5,University of Cambridge
6,Harvard University
7,University of Oxford
8,Princeton University
9,ETH Zurich - Swiss Federal Institute of Technology
10,National University of Singapore (NUS)
10,University of Toronto
12,Imperial College London
13,"University of California, Los Angeles (UCLA)"
14,The Hong Kong University of Science and Technology
14,The University of Melbourne
16,"Nanyang Technological University, Singapore (NTU)"
17,Peking University
18,EPFL - Ecole Polytechnique Federale de Lausanne
18,University of Washington
20,Tsinghua University
21,Georgia Institute of Technology
22,California Institute of Technology (Caltech)
22,The University of Tokyo
24,Columbia University
25,Cornell University
26,The University of Hong Kong
27,University of Texas at Austin
28,The Chinese University of Hong Kong (CUHK)
28,The University of Edinburgh
28,University of Illinois at Urbana-Champaign
31,University of Waterloo
32,UCL (University College London)
33,New York University (NYU)
34,KAIST - Korea Advanced Institute of Science & Technology
34,University of British Columbia
36,The University of Sydney
37,The Australian National University
37,University of Pennsylvania
39,Yale University
40,Seoul National University
41,The University of New South Wales (UNSW Sydney)
42,Technical University of Munich
43,National Taiwan University (NTU)
44,Politecnico di Milano
45,"University of California, San Diego (UCSD)"
45,University of Michigan
47,University of Southern California
48,Shanghai Jiao Tong University
49,Lomonosov Moscow State University
50,City University of Hong Kong
