,Rank, University, Size, M10, G10, P10, C40, C60, C80, USN, Scholar, ID,University,ID,school
0,1, University of California - Berkeley  ,68,375.0,351.2308,0.829134,57,54,38,5.0,5.077428,92,University of California - Berkeley,92,University of California - Berkeley
1,2, Massachusetts Institute of Technology  ,97,306.0,285.9102,0.791046,72,66,45,5.0,5.0716529999999995,44,Massachusetts Institute of Technology,44,Massachusetts Institute of Technology
2,3, Stanford University  ,55,395.0,425.0067,0.897185,46,43,35,5.0,5.024753,75,Stanford University,75,Stanford University
3,4, Carnegie Mellon University  ,143,218.0,199.581,0.7201569999999999,105,74,48,5.0,5.022005,11,Carnegie Mellon University,11,Carnegie Mellon University
4,5, Cornell University  ,75,216.0,228.324,0.746838,50,41,23,4.5,4.413652,19,Cornell University,19,Cornell University
5,6, Georgia Institute of Technology  ,97,167.0,139.3444,0.634487,66,48,23,4.3,4.308927,30,Georgia Institute of Technology,30,Georgia Institute of Technology
6,7, University of Washington  ,56,232.0,239.2134,0.77112,40,31,20,4.5,4.269653,160,University of Washington,160,University of Washington
7,8, University of California - San Diego  ,60,203.5,192.2067,0.70704,47,36,24,4.0,4.237753,97,University of California - San Diego,97,University of California - San Diego
8,9, University of California - Los Angeles  ,44,206.0,242.8607,0.743671,37,28,17,4.1,4.161214,95,University of California - Los Angeles,95,University of California - Los Angeles
9,10, University of Michigan - Ann Arbor  ,59,235.0,174.7816,0.69503,40,31,20,4.1,4.142708,128,University of Michigan - Ann Arbor,128,University of Michigan
10,11, Princeton University  ,35,285.0,232.2026,0.766528,27,23,19,4.4,4.1180010000000005,69,Princeton University,69,Princeton University
11,12, Columbia University  ,45,218.0,205.5763,0.7146779999999999,35,27,18,4.0,4.079373,18,Columbia University,18,Columbia University
12,13, University of Illinois - Urbana - Champaign  ,63,169.0,162.6681,0.674045,45,34,14,4.6,4.0593449999999995,115,University of Illinois - Urbana - Champaign,115,Univ. of Illinois at Urbana-Champaign
13,14, Yale University  ,21,319.0,261.4688,0.80347,19,16,12,3.7,4.027897,175,Yale University,175,Yale University
14,15, New York University  ,57,204.0,154.0946,0.67309,39,31,14,3.4,4.024541,54,New York University,54,New York University
15,16, University of Maryland - College Park  ,48,182.0,174.2863,0.689666,37,32,12,4.0,4.016743,123,University of Maryland - College Park,123,University of Maryland - College Park
16,17, Johns Hopkins University  ,27,277.0,295.9705,0.791892,18,14,9,3.5,3.9713190000000003,37,Johns Hopkins University,37,Johns Hopkins University
17,18, University of Wisconsin - Madison  ,34,215.0,196.3172,0.728875,27,22,11,4.2,3.9030650000000002,161,University of Wisconsin - Madison,161,University of Wisconsin - Madison
