rank,school, Faculty ,M10,G10,P10,C40,C60,C80,usnews, Scholar
1,Massachusetts Institute of Technology,97,306,286,0.79,72,66,45,5,5
1,University of California - Berkeley,68,375,351,0.83,57,54,38,5,5
1,Carnegie Mellon University,143,218,200,0.72,105,74,48,5,5
1,Stanford University,55,395,425,0.9,46,43,35,5,5
5,Cornell University,75,216,228,0.75,50,41,23,4.5,4.4
6,Georgia Institute of Technology,97,167,139,0.63,66,48,23,4.3,4.3
6,University of Washington,56,232,239,0.77,40,31,20,4.5,4.3
8,University of California - Los Angeles,44,206,243,0.74,37,28,17,4.1,4.2
8,University of California - San Diego,60,204,192,0.71,47,36,24,4,4.2
10,Columbia University,45,218,206,0.71,35,27,18,4,4.1
10,Princeton University,35,285,232,0.77,27,23,19,4.4,4.1
10,Univ. of Illinois at Urbana-Champaign,63,169,163,0.67,45,34,14,4.6,4.1
10,University of Michigan,59,235,175,0.7,40,31,20,4.1,4.1
14,Johns Hopkins University,27,277,296,0.79,18,14,9,3.5,4
14,New York University,57,204,154,0.67,39,31,14,3.4,4
14,University of Maryland - College Park,48,182,174,0.69,37,32,12,4,4
14,Yale University,21,319,261,0.8,19,16,12,3.7,4
18,University of Southern California,39,234,194,0.71,25,20,15,3.7,3.9
18,University of Wisconsin - Madison,34,215,196,0.73,27,22,11,4.2,3.9
20,California Institute of Technology,16,287,238,0.75,12,8,7,4.2,3.7
20,Harvard University,30,202,183,0.7,22,16,10,3.9,3.7
20,University of Massachusetts Amherst,44,177,170,0.67,25,16,11,3.6,3.7
20,University of Pennsylvania,33,188,165,0.68,25,21,9,3.8,3.7
20,University of Texas at Austin,46,177,142,0.64,27,23,12,4.3,3.7
25,Duke University,39,163,155,0.66,24,17,11,3.6,3.6
25,University of California - Santa Barbara,30,166,158,0.67,23,16,10,3.3,3.6
27,Brown University,31,167,145,0.65,20,17,5,3.7,3.5
27,University of California - Davis,33,149,129,0.61,23,17,3,3.3,3.5
27,University of California - Santa Cruz,21,192,169,0.7,16,13,5,2.8,3.5
27,University of Chicago,36,144,165,0.65,21,15,8,3.3,3.5
27,University of North Carolina,32,161,146,0.65,21,16,9,3.6,3.5
32,Pennsylvania State University,35,136,114,0.58,21,15,5,3.4,3.4
32,University of California - Irvine,42,112,116,0.57,23,17,8,3.4,3.4
32,University of Minnesota,44,98,127,0.58,29,15,7,3.4,3.4
35,Purdue University,54,112,111,0.56,27,14,3,3.7,3.3
35,Rice University,19,154,147,0.63,15,10,5,3.7,3.3
35,Rutgers University,41,124,112,0.57,20,16,8,3.3,3.3
35,Stony Brook University,42,116,121,0.6,22,11,3,3.1,3.3
35,University of California - Riverside,31,134,128,0.6,18,12,3,2.8,3.3
40,Boston University,24,118,134,0.61,16,9,6,3,3.2
40,Northeastern University,58,89,99,0.52,25,14,7,2.7,3.2
40,University of Arizona,19,140,130,0.61,15,9,3,3.1,3.2
43,Northwestern University,33,99,104,0.55,21,9,2,3.3,3.1
43,Ohio State University,42,95,90,0.51,21,10,3,3.3,3.1
43,University of Virginia,27,140,81,0.55,15,10,3,3.4,3.1
46,Colorado State University,21,107,110,0.56,15,7,1,2.4,3
46,Indiana University,46,87,80,0.49,21,11,3,2.9,3
46,Michigan State University,31,96,97,0.51,16,7,2,2.8,3
46,University at Buffalo,37,109,97,0.52,13,8,2,2.6,3
46,University of Colorado Boulder,34,108,100,0.54,15,8,3,3.1,3
46,University of Rochester,19,117,124,0.6,11,6,3,2.9,3
46,University of Tennessee,24,113,114,0.54,12,6,2,2.4,3
46,University of Utah,43,93,82,0.51,20,10,2,3.1,3
46,Virginia Tech,43,79,79,0.47,19,10,1,3.1,3
55,Arizona State University,59,70,74,0.45,19,11,2,3,2.9
55,George Mason University,41,80,69,0.46,20,7,3,2.5,2.9
55,North Carolina State University,49,62,63,0.42,18,11,1,3,2.9
55,Texas A&M University,42,76,74,0.45,21,8,1,3.1,2.9
55,University of Texas at Dallas,50,72,54,0.41,23,10,1,2.4,2.9
55,Vanderbilt University,21,113,110,0.56,12,5,1,2.8,2.9
55,Washington University in St. Louis,25,96,112,0.54,13,6,5,3.1,2.9
62,College of William and Mary,15,118,94,0.53,8,4,2,2.4,2.8
62,Rensselaer Polytechnic Institute,24,80,91,0.49,11,6,3,2.9,2.8
62,University of Pittsburgh,18,109,102,0.54,10,4,1,2.9,2.8
65,Dartmouth College,21,87,96,0.51,10,3,3,3.1,2.7
65,Lehigh University,16,73,94,0.52,9,4,1,2.1,2.7
65,Portland State University ,22,90,56,0.44,10,7,3,0,2.7
65,University of Florida,41,51,61,0.41,12,8,2,3,2.7
65,University of Illinois at Chicago,31,66,74,0.46,10,6,3,2.7,2.7
65,Univ. of Maryland - Baltimore County,25,71,88,0.49,10,5,4,2.4,2.7
65,University of Notre Dame,19,95,86,0.49,9,4,2,2.7,2.7
65,University of Texas at Arlington,26,74,63,0.43,12,5,1,2.2,2.7
73,CUNY,78,29,30,0.28,22,10,2,2.3,2.6
73,Temple University,22,72,60,0.43,10,5,3,2,2.6
73,University of Central Florida,36,53,58,0.4,11,8,1,2.2,2.6
73,University of Nebraska,28,71,65,0.43,10,5,1,2.4,2.6
77,Illinois Institute of Technology,18,65,57,0.38,8,3,0,2.1,2.5
77,University of Delaware,24,67,63,0.44,8,3,1,2.4,2.5
77,University of South Florida,21,63,59,0.42,8,5,1,2.1,2.5
80,Case Western Reserve University,18,71,62,0.44,6,2,0,2.4,2.4
80,Drexel University,19,54,65,0.42,6,2,0,2.2,2.4
80,New Jersey Institute of Technology ,29,49,41,0.35,9,4,0,2.2,2.4
80,Tufts University,16,62,64,0.4,5,2,2,2.4,2.4
80,University of Houston,24,60,55,0.36,11,1,0,2.1,2.4
80,University of Memphis ,11,72,64,0.43,4,2,1,0,2.4
80,University of Missouri ,15,66,56,0.42,6,3,1,2.1,2.4
